CATEGORÍA;NOMBRE;POD;DEFINICION;CIUDAD;WEB;LINKEDIN;PERSONAS_CLAVE
globales/nacionales;etalentum;Proximidad con base tecnológica;Red de selección que funciona con tecnología propia e IA, pero con trato muy cercano. Su nicho principal es dotar de talento cualificado a las PYMES locales que escapan del radar de las grandes multinacionales.;Donostia;https://www.etalentum.com/;https://www.linkedin.com/company/etalentum-seleccion-s-l-/;Alvaro Etxenike
globales/nacionales;experis;Líder global en talento IT e Ingeniería;Perteneciente a ManpowerGroup. Se diferencian por su hiper-especialización tecnológica. Acaparan una gran parte del mercado de vacantes para programadores, ciberseguridad, sistemas e ingeniería pura.;Bilbao;https://www.experis.es/;https://www.linkedin.com/company/experis/;
globales/nacionales;randstad professionals;Músculo corporativo en mandos intermedios;Es la división de headhunting directo de la multinacional. Destacan por su inmensa capacidad operativa para mover un gran volumen de mandos intermedios y perfiles altamente cualificados.;Bilbao;https://www.randstad.es/;https://www.linkedin.com/company/randstad/;
globales/nacionales;stefanini;Consultora tecnológica global;Más que un headhunter clásico para terceros, es una corporación de soluciones IT. Su diferenciador es que reclutan talento tecnológico especializado (developers, data, cloud) principalmente para sus propios macroproyectos.;Bilbao;https://stefanini.com/en/emea/es;https://www.linkedin.com/company/stefanini-emea/;Agueda Nava Bellido
globales/nacionales;Marlex;Agilidad comercial y fuerte expansión;Empresa catalana de RRHH creciendo mucho en la cornisa cantábrica. Su división de selección profesional destaca por la rapidez y un enfoque muy práctico para dar servicio a la industria y PYMES locales.;Bilbao;https://www.marlex.net/;https://www.linkedin.com/company/marlexgreatpeople/;
locales;LKS next;El ADN del modelo cooperativo;Pertenecen a Corporación Mondragon. Su diferenciador absoluto es su entendimiento del ecosistema industrial vasco y la economía social. Ideales para perfiles técnicos y de gestión en industria pesada y manufacturera.;Zamudio;https://www.lksnext.com/en/;https://www.linkedin.com/company/lks-next-selection/posts/?feedView=all;
locales;ieteam;Innovación, agilidad y startups;Consultora guipuzcoana muy dinámica. Se desmarcan del estilo tradicional con un tono fresco, muy cercanos a la innovación, la transformación digital, perfiles IT y la internacionalización de empresas.;Donostia;https://ieteam.com/es/;https://www.linkedin.com/company/ieteam/posts/?feedView=all;Javier Durán
locales;GOI Recursos Humanos;Cercanía integral para la PYME Guipuzcoana;Funcionan casi como el departamento de RRHH externo de muchas empresas del territorio. Su fuerte es la selección de perfiles muy adaptados a la idiosincrasia de la pequeña y mediana empresa vasca.;Donostia;https://www.goirecursoshumanos.com/;https://www.linkedin.com/company/goi-recursos-humanos/;Cristina Gonzalez
locales;Grupo gisma;Selección integrada en la estrategia empresarial;Son consultores de negocio (estrategia, IT, calidad). Su área de talento busca personas que encajen no solo en un puesto, sino en el proyecto a largo plazo de transformación de la empresa cliente.;Donostia;https://grupogisma.com/;https://www.linkedin.com/company/grupo-gisma/;
locales;Grupo oteic;Referentes en la empresa familiar vasca;Consultora histórica de gestión integral en Gipuzkoa. Su gran diferencial es que abordan la selección de directivos desde el conocimiento profundo de la gobernanza, los consejos de administración y el relevo generacional.;Donostia;https://www.oteic.com/;https://www.linkedin.com/company/oteic/;
locales;ingroup;Expertos en el polo industrial de Gipuzkoa;Consultora con sede en Beasain. Destacan por su profunda conexión con el exigente tejido industrial (ferroviario, siderometalúrgico, máquina-herramienta) del Goierri y zonas aledañas.;Beasain;https://www.ingroupconsultoria.com/;https://www.linkedin.com/company/in-group-consultoria/;Amaia Madina | Pilar Romero
locales;Zitap;Intermediación laboral y flexibilidad para la empresa guipuzcoana;Entidad donostiarra que opera como Agencia de Colocación y Empresa de Trabajo Temporal (ETT). Destacan por su labor de acompañamiento local, conectando de forma ágil las necesidades de talento estructural y temporal de las empresas del territorio.;Donostia;https://www.zitap.com/;;Jone Alkorta
